gene,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
ACSL6,37.37903333,14.5956,1.955618,0.1,0.844099,6.3843775
ACSM1,0.10204375,0.1,0.1,0.1,0.1,0.0803055
ACSM2A,0.1,0.1,0.1,0.1,0.1,0.1
ACSM2B,0.1,0.1,0.1,0.1,0.1,0.1
ACSM3,0.1,0.1,0.1,0.1,0.1,0.1
ACSM4,0.1,0.1,0.1,0.1,0.1,0.08277845
ACSM5,0.499532583,0.1,0.2542144,4.2,0.1,0.2035995
ACSS1,12.58505417,0.205666,0.8222538,0.9,0.5747305,0.5370845
ACSS2,1.775259,0.951795,2.72208,1.5,1.1492945,0.5099815
ACSS3,7.380565,0.810414,0.1922516,0.1,0.5662025,0.6257735
ACTA1,0.104521833,0.179628,0.1,0.1,0.1,0.09409385
ACTA2,2.712336917,2.52018,0.5019048,1.5,11.5095,0.7548361
ACTB,211.0206667,206.499,338.8316,664.5,147.9675,27.1828775
ACTBL2,0.1,0.177163,0.1,0.1,0.1,0.05844505
ACTC1,0.105651,1.04988,0.2316652,0.1,0.1,0.586446
ACTG1,81.8765,110.493,78.98866,93.8,25.3149,15.49496
ACTG2,0.121109917,0.1,0.1,0.1,1.09729,0.092898675
ACTL10,0.116901417,0.1,0.1,0.1,0.1,0.1
ACTL6A,2.937112833,0.76421,5.54469,4.1,0.9546855,0.38782825
ACTL6B,0.113028667,0.1,0.1,0.1,0.324545,0.459956125
ACTL7A,0.1,0.1,0.1,0.1,0.1,0.1
ACTL7B,0.1,0.1,0.1,0.1,0.1,0.1
ACTL8,0.1,0.1,0.1,0.1,0.1,0.1
ACTL9,0.1,0.1,0.1,0.1,0.1,0.1
ACTN1,0.5641375,2.23348,0.1495404,0.1,1.725865,1.008122
ACTN2,0.135786417,1.2692,0.5254708,0.1,0.962299,1.03138675
ACTN3,0.1,0.1,0.1,0.1,0.1,0.1
ACTN4,1.099171333,0.305121,1.5534738,0.8,11.43734,0.775612
ACTR10,6.071238333,12.1179,5.956594,1.7,3.224895,3.045735
ACTR1A,7.070311667,5.58601,4.692006,3.4,4.45991,1.0147365
ACTR1B,2.749675833,3.35817,1.8459162,1.3,5.063665,1.180812
ACTR2,16.65166667,31.9458,21.9432,52.1,6.49828,7.055015
ACTR3,10.28346333,15.0522,16.28186,37.4,5.934875,8.04106
ACTR3B,1.948779833,6.90057,1.975344,0.3,3.06025,4.55637
ACTR3BP2,0.1,0.1,0.1,0.1,0.1,0.1
ACTR3BP5,0.1,0.1,0.1,0.1,0.1,0.1
ACTR3C,0.3762925,1.14487,0.1202284,0.2,0.3301495,0.452323375
ACTR5,0.42955675,1.71636,0.74424,0.5,0.314317,0.433826
ACTR6,2.204246167,6.5448,4.560562,1.6,1.1479065,0.72431925
ACTR8,2.953324167,4.07911,2.29275,2.0,0.4680385,0.92656225
ACTRT1,0.1,0.1,0.1,0.1,0.1,0.1
ACTRT2,0.1,0.1,0.1,0.1,0.1,0.1
ACVR1,2.978080083,3.49239,1.598722,2.1,10.56687,1.027212
ACVR1B,3.140645,5.99254,1.78064,1.7,0.983424,2.43303
ACVR1C,0.641959167,1.06631,1.5337324,0.1,0.1,2.211703
ACVR2A,1.711846667,5.32142,2.126466,1.0,0.9108135,1.9754275
ACVR2B,1.520356,1.5717,1.2692144,0.3,0.466735,0.89905325
ACVRL1,0.1,0.1,0.1,0.1,2.585005,0.1010603
ACY1,1.776319917,0.367847,0.2677826,0.5,1.093492,0.3164045
ACY3,0.140857917,0.1,0.1761518,4.2,0.2105055,0.087318325
ACYP1,3.900310833,36.3579,6.536226,1.8,3.415085,2.974345
ACYP2,18.67440833,18.7193,12.185856,1.2,3.23662,12.4765125
ADA,1.94588725,0.870646,1.480743,0.1,0.329554,0.145734
ADAD1,0.1,0.1,0.1,0.1,0.1,0.1
ADAD2,0.1,0.1,0.1,0.1,0.1,0.1
ADAL,4.019305833,2.67746,2.0022354,1.1,0.86478,1.35620425
ADAM1,0.506351583,1.39237,0.4521018,0.5,0.2370315,0.73568475
ADAM10,7.425261667,9.1282,15.572576,22.6,6.324075,4.1904875
ADAM11,0.130614,0.108958,0.1,0.1,0.1,0.16773175
ADAM12,0.28570225,0.155221,0.3244096,0.1,0.1,0.19215875
ADAM15,0.31083775,0.1,0.1056584,0.1,0.9893525,0.09644455
ADAM17,4.564908333,4.37618,4.407868,20.4,2.98586,1.934475
ADAM18,0.1,0.1,0.1,0.1,0.1,0.1
ADAM19,0.10028525,0.254616,0.4046848,0.1,0.1,0.09797535
ADAM2,0.1,0.1,0.1,0.1,0.1,0.0790301
ADAM20,0.32108675,0.177301,0.1804794,0.1,0.1,0.271489
ADAM21,0.724778833,1.39955,0.1268498,0.1,0.1,1.04334375
ADAM21P1,0.14461625,0.124767,0.1,0.1,0.1,0.3437355
ADAM22,2.54427,25.6011,5.02543,0.5,0.588833,6.0361275
ADAM23,0.993311083,6.72623,1.4185184,0.1,0.303583,3.844645
ADAM28,0.534722833,0.379905,3.587671,61.4,0.102516,1.40226125
ADAM29,0.1,0.1,0.1,0.1,0.1,0.0687465
ADAM30,0.1,0.1,0.1,0.1,0.1,0.1
ADAM32,0.503641,1.09145,1.1019816,0.2,0.5222245,1.11920225
ADAM33,0.533691083,0.778352,0.1,0.1,0.5749215,0.18105355
ADAM3A,0.1,0.1,0.1,0.1,0.1,0.1
ADAM5P,0.1,0.1,0.1,0.1,0.1,0.1
ADAM6,0.1,0.1,0.1,0.1,0.1,0.1
ADAM7,0.1,0.1,0.1,0.1,0.1,0.0462302
ADAM8,0.1,0.1,0.1,0.1,0.1,0.077033775
ADAM9,5.402913333,6.52183,7.33965,27.7,1.820935,3.8307925
ADAMDEC1,0.1,0.1,0.1,0.1,0.1,0.065620075
ADAMTS1,0.866449,3.49613,9.686956,0.1,3.05835,0.61902175
ADAMTS10,0.143828917,0.1,0.1,0.1,0.1,0.042740925
ADAMTS12,0.1,0.1,0.1,0.1,0.1,0.054586218
ADAMTS13,0.138427083,0.1,0.1,0.1,0.1,0.0878779
ADAMTS14,0.1,0.1,0.1,0.1,0.1,0.077356998
ADAMTS15,0.1,0.1,0.1,0.1,0.1,0.079359325
ADAMTS16,0.1,0.1,0.1,0.1,0.1,0.2495705
ADAMTS17,0.73314275,0.149069,0.2997354,0.2,0.1,0.152439
ADAMTS18,0.128522583,0.1,0.5193746,0.1,0.1,0.038636005
ADAMTS19,0.133208583,0.514621,0.171399,0.1,0.2278265,0.298806575
ADAMTS2,0.1,0.124904,0.1112342,0.1,0.1,0.01905858
