gene,nOPCs_mean,aOPCs_mean,aOLs_mean,activatedaOPCs_mean,non_activatedaOPCs_mean
Dap3,11.49132789,11.43929013,11.32118986,11.94921198,11.57085344
Rsph6a,9.169469026,8.941658703,9.180274566,9.032585386,8.864099132
Tmx4,10.23147542,9.943016512,9.829789147,9.86922927,10.11009569
4931406E20Rik,11.16628713,10.14778493,10.02121208,10.02419555,10.14677885
Hjurp,9.748418035,9.254193902,9.449791293,9.031892928,9.346853038
Nfat5,10.22656983,10.11452556,10.48996422,9.424453562,10.15414064
E030019B13Rik,9.140101533,8.844653918,9.04239492,8.967627744,9.264930849
Raver1,15.18855439,15.2840172,15.3096424,14.41353765,14.70321738
(+)E1A_r60_a97,9.224181587,8.891569317,8.999073132,8.96160588,8.999465563
Ang4,9.368039024,9.232017791,9.329814483,9.262153134,9.232986669
Dok2,9.478517747,9.135103579,9.209280826,9.141570638,9.650752097
Casz1,9.321835758,9.383889845,9.37441364,9.094244689,9.079439975
Gm5591,9.127616219,9.170934111,8.894174646,8.953197778,8.94946837
Csf2,9.041213506,8.875216835,9.260636812,9.081592411,8.894750793
NA,8.573940528,8.56907598,8.530556979,8.758344786,8.512009415
Gmeb2,9.815598034,9.438078141,9.469071679,9.112722871,9.625300783
NA,8.652228313,8.53561472,8.521113787,8.80701213,8.649600179
0,10.3182127,9.876241044,10.06064289,10.08278887,9.673996808
LOC100039380,9.337657064,9.362588173,9.23331249,9.258659066,9.503473108
Gm10904,9.039005459,9.302130034,8.850087975,8.972351803,9.213620672
Vmn2r75,9.073382619,9.314638158,9.086120384,9.146758468,9.297363799
0,8.980750724,9.014386617,9.123607105,9.463504286,9.025471653
Apoa1,9.079068436,9.095450888,9.000703786,8.992790331,9.040452529
Stat5b,10.65644846,10.383511,10.36852689,10.47296472,10.39846715
0,10.70472011,12.31887072,12.22445465,11.90122122,12.48077877
LOC100047293,8.895180683,9.050321224,9.099695277,9.081027848,8.875798232
Lce1b,8.993257972,9.042898529,9.029130551,8.87641224,8.90998282
LOC100046302,8.905381983,8.998775705,9.186055827,8.92496414,9.005966186
0,9.084948146,9.058857863,9.074144312,8.88092222,9.100184356
Pet2,8.993888492,8.827139527,8.965984625,8.808200057,8.936349991
Slc12a7,11.4950364,10.1314754,9.246078905,9.866128979,9.703855806
Bai1,14.77368764,14.17610174,13.97293738,13.98509414,15.00429378
Rps25,9.07079771,9.272074424,9.340132953,9.108498152,8.961593504
Gabra4,9.02193107,9.01686751,9.048477086,8.881182041,8.995175989
Pvalb,9.468692217,9.72363645,9.952492623,9.433050392,9.227041038
Mare,11.04500301,11.18772992,10.58738061,10.93158482,11.1894167
1700048M11Rik,9.471496905,9.807932687,9.904723348,9.465780135,9.874363686
LOC632383,13.50430886,12.36121438,12.76704228,12.6833065,12.43365253
Ldoc1l,10.48473235,10.64395849,10.60783735,10.51239423,10.64820705
Denr,11.0847924,11.11320557,11.0840216,11.03298242,11.06190407
0,9.068270088,8.96665345,9.106036231,8.83159573,9.053852608
0,10.86911271,12.13233229,11.91684471,11.10026675,11.68187694
0,12.21313974,11.93284911,11.21959054,12.46739306,12.08971316
4930519F16Rik,9.044836436,8.841517766,9.051944144,9.139064021,8.995836557
Ube2e2,12.86966602,13.23540976,12.89071788,13.01931935,13.482214
ERCC-00062_278,8.969682093,9.201410544,9.15168802,8.806120318,8.945781605
Napepld,10.08432753,11.28086454,11.22449371,10.0898849,11.04763753
Gm7767,11.08770733,11.35865729,11.30827542,10.58216362,11.09214668
Fbxw11,12.61332801,12.88891429,12.52135841,13.29341626,13.16289272
Cir1,9.180442248,9.371833685,9.541649588,9.166821424,9.175467138
LOC100043974,9.971772122,9.241898391,9.548472079,9.06537813,9.044461346
Abcc3,9.18945611,9.20464547,9.2644493,9.448527841,8.888569795
Neil1,9.207258339,9.533023578,9.58028628,9.255196666,9.460344748
Masp2,8.974252986,9.007318737,9.142086568,9.311797239,8.932753947
Ccdc65,9.1527747,8.994820687,9.028930056,9.126893199,8.845313925
Gm10565,9.046067884,9.612348469,9.150590582,9.292702006,9.040686973
Gm5840,8.944326047,8.998707625,9.068187451,9.028057063,8.906975019
Polr2e,10.22095863,10.93038402,10.74053303,10.92195258,10.89450202
0,10.35109288,10.53672538,10.48746316,11.04107933,10.90597105
Hdlbp,11.40096046,11.15378677,11.12202757,10.788721,11.10498624
Dapl1,9.46179835,9.378362892,9.045848095,9.069112457,8.985033908
Camk1,9.245601494,9.821311534,9.519500553,9.514703997,9.529000087
2010106G01Rik,10.45750084,10.58695951,10.65844615,10.81171145,11.16470176
Dtx3l,9.66344997,9.2612416,9.079465608,9.26881934,9.151196242
Lingo3,9.601003777,9.515108341,9.263626052,9.370319619,9.211762684
0,9.001365183,9.165122093,8.756095313,9.433201723,9.061006112
(-)3xSLv1,8.886551709,9.016587054,8.842123351,8.941352682,8.940048639
0,9.061656229,9.343560821,8.973811361,10.59082925,9.607678751
Grrp1,9.270472733,9.445396019,9.02285503,9.10260175,8.929022733
2010110P09Rik,9.171881737,9.342719579,8.919197198,9.060073576,8.901840671
Gm5450,13.62754977,15.11525527,15.0220081,15.19643054,15.03553173
Mpzl2,12.2714093,10.2634881,9.07913581,10.14532076,9.40366217
Rint1,11.32106531,12.07378173,12.04584409,11.11172145,11.43550406
Defa21,8.973216945,9.343407801,8.894385356,9.058307358,8.79788992
Dhrs4,9.167466479,9.866130337,9.548322073,9.544817364,9.582041381
Atl2,9.259609023,9.780072136,9.364583828,9.565477932,9.38040696
Ephb6,9.076957426,9.685654202,9.021634802,9.086911305,9.408201028
Gpn2,9.793001144,10.67129419,10.1563725,10.56201541,10.27348115
Adprh,12.68005883,12.88193008,12.58296264,12.74731829,12.68138679
0,9.007092903,9.555676572,9.094487304,9.002701405,8.929969329
Slc6a20a,10.75172377,10.03652744,9.369391371,9.344683978,9.206614898
Spesp1,11.27366262,9.709501071,9.029969465,8.958218496,8.843049705
Rs1,15.7978037,15.42421061,15.91671039,14.773774,15.49946411
Mrpl34,10.69067414,11.46652301,11.31707914,11.54662575,11.32182337
Prssl1,9.328763553,9.064555723,9.083376107,9.005547494,8.888272568
Atp1b3,12.38631612,14.64365792,14.41699312,13.6278157,14.94890925
Hprt,11.77804314,11.76710276,11.7853828,11.88179121,11.93737657
Aspa,9.770296933,15.2084272,15.15167386,13.83138262,15.3648861
Ctbp2,11.33655424,9.364738609,9.134961267,9.941103617,9.369486692
5730469M10Rik,12.51046916,13.44974047,13.61657791,12.17609822,13.79183202
Bnip3,11.9196029,12.94195745,13.1067955,12.98702965,13.33297499
Nudt15,9.041271652,8.96951444,8.955823175,9.149879056,8.993171183
Gspt2,9.573958312,9.449799343,9.696045702,9.720222443,9.818897046
Kctd20,10.65010841,10.47013842,10.4663998,10.56070086,10.43937922
Gsta4,9.518743572,9.006268792,8.957839021,9.176371125,9.013443134
Bloc1s2,11.67692714,11.89772192,12.01262387,12.52374193,12.39171077
Naa30,10.33157767,10.22121121,10.59960977,10.44026171,10.25809574
Olfr487,8.881308982,8.817154096,8.957478421,8.953163322,9.02374761
Tspan17,10.07009187,11.05460384,10.81913014,10.92876754,11.04052091
Mex3c,10.5202215,10.94311408,10.80478921,11.4695642,11.35142211
C130030J05,8.90862958,8.891488201,8.872826248,8.964023933,9.044104627
Cxcl11,15.92891094,15.6139925,15.70862242,15.90060297,15.87753833
Trim71,8.810428041,9.115077242,9.085037266,9.352733919,9.302239165
LOC100046741,9.244140988,9.327802371,9.378177913,9.038892959,9.056052057
5031434C07Rik,9.026255233,8.782948624,8.739157897,9.284297987,8.862491779
NA,8.608125617,8.558092776,8.505812409,8.679643159,8.774688203
Phax,9.690047091,10.02982201,10.14776072,10.66203619,10.51764686
Klhdc5,9.542497386,9.645129693,9.715941865,9.95458333,10.11717868
0,12.69437912,13.52059122,13.10558292,13.21321269,13.58285126
0,8.950330449,9.131311106,8.856197419,9.226545707,8.830895644
Hspb6,9.675815422,10.06221816,9.823770379,9.928737961,9.521859829
0610009E02Rik,9.945667563,9.265334282,9.165656357,9.868256137,9.316876989
3110021N24Rik,8.781663605,9.036454139,8.948123244,8.917987271,9.074113603
Trim21,9.171222154,9.35271718,9.156469982,9.631506289,9.394378477
Asph,9.643241176,9.050397617,9.226420824,9.169727665,9.186401724
D6Wsu163e,9.225636508,9.836419029,9.880476681,9.849441,9.834466297
Csf1,11.12691609,12.58759096,12.58521563,12.35369626,12.89807646
Pira6,8.836189461,8.818584873,8.904767476,8.93499888,8.714116455
(-)3xSLv1,8.579868872,8.82287504,8.662035344,8.904815966,8.812650614
Zfp595,8.936400261,9.283729895,9.432311432,9.092455225,9.318643366
Tspan4,11.2434602,9.125216697,9.420748376,10.80976989,9.063713633
2210012G02Rik,8.812925518,9.155803722,8.999207968,8.884902891,9.122894815
Nceh1,11.14959931,12.09793641,11.99634726,12.45595222,12.04710983
DarkCorner,8.802268157,8.792084927,8.742296439,8.950341558,8.760662015
DarkCorner,8.781031145,8.869582933,8.739029812,8.832372127,8.755747606
DarkCorner,8.728029373,8.836705828,8.722025829,8.91941889,8.882625036
DarkCorner,8.743019629,9.004406229,8.740391776,8.744602923,8.758088093
DarkCorner,8.679835715,9.129158407,8.769015455,8.78894291,9.209283674
DarkCorner,8.780172871,9.103706694,8.68645333,8.908111099,8.765378144
DarkCorner,8.615592526,8.893233086,8.728818886,8.838912542,8.94921719
DarkCorner,8.776743954,9.240055386,8.714247127,8.791029451,9.016399635
DarkCorner,8.869632957,9.458705457,8.671748419,8.911734595,8.894952586
DarkCorner,8.691066141,9.853425812,8.619642662,8.832844787,8.944625221
DarkCorner,8.654902447,9.239552229,8.902260652,8.734093752,8.710599971
DarkCorner,8.787161836,9.349075523,8.85493841,8.817934516,8.956753024
DarkCorner,8.827655479,8.744450377,8.609619678,8.933569811,8.903954492
DarkCorner,8.742889899,8.688497836,8.762978364,8.922091196,8.919279548
DarkCorner,8.634472523,8.853781752,8.846671901,8.958628174,9.086490243
DarkCorner,8.841026523,8.955813372,8.923712701,8.854252581,9.516721408
DarkCorner,8.661882101,8.914122987,9.019411929,9.047291983,9.205789516
DarkCorner,8.65025098,8.916699403,9.023675875,8.804168434,9.251808084
GE_BrightCorner,13.888524,14.19009598,14.17913635,13.46756942,13.57279393
GE_BrightCorner,13.87349531,14.20367799,14.10102502,13.27726381,13.52008857
DarkCorner,8.627958602,8.754104128,8.733460992,9.4957351,9.043730982
DarkCorner,8.598263976,8.885665768,8.822506946,9.029491392,9.120628665
DarkCorner,8.829657139,8.835381965,8.816469822,9.01262617,8.910984674
DarkCorner,8.720764618,8.670197134,8.693656057,8.938872669,9.10370808
DarkCorner,8.599391262,8.83813223,8.715536267,8.993919324,9.040921353
DarkCorner,8.885477977,8.888361738,8.653560389,8.851321754,8.861772729
DarkCorner,8.898800937,8.828679709,8.830122376,8.918475714,9.374967113
DarkCorner,8.53287199,8.913393066,8.70189241,8.744588719,9.027659678
DarkCorner,8.649624233,8.77976542,8.619671112,8.960177579,9.114905564
DarkCorner,8.721790124,8.895362121,8.8908807,9.013452957,9.070559494
DarkCorner,8.769382022,8.844292819,8.841496522,9.57994654,9.035193945
DarkCorner,8.653175654,8.72457116,8.757379009,9.151963995,8.936698607
DarkCorner,8.686853469,8.739301718,8.655601963,8.888288302,8.849515081
DarkCorner,8.616127271,8.702017874,8.720069931,9.108852032,8.934640509
DarkCorner,8.713331061,8.799319057,8.620076506,8.952178503,9.179882708
0,8.663248842,8.689575437,8.648309618,8.826097568,8.961413804
4930544M13Rik,8.655910638,8.853626746,8.803287173,8.986109003,8.707944408
Cdk7,9.309320201,9.444423903,9.230064343,9.576494245,9.55635249
E130309D14Rik,8.823783095,8.845196863,8.985532141,8.912894355,8.965915047
0,10.3126431,10.39837274,10.60232069,10.2098822,10.38657842
0,9.213117554,9.010029338,8.890028083,9.335131679,9.053469841
