gene,neonatal_OPCs_Mean,adult_OPCs_Mean,adult_oligodendrocytes_Mean
Ccr3,204.6712606,209.3037584,217.1663727
Gm12866,186.5632406,200.9426359,201.2551361
Nsd1,6063.580309,3161.807741,3121.79533
0,2204.401458,1051.394551,1792.0284
0,1202.638826,1931.3982,1838.82891
D530049N12Rik,206.2532809,199.3979175,204.3241177
Fbxo2,1731.60537,21204.23139,22506.60592
Mtap7d1,11980.67584,51000.19934,47831.96823
LOC100046257,228.7713024,245.1251705,289.607607
Cd3e,460.8048073,652.2826677,1075.12879
Gm8364,303.4261479,204.3348493,214.5865939
Parp16,213.9350912,208.8076143,204.3176136
Atp6v1c2,221.2109273,194.0333882,200.2123023
Speer4a,239.3594364,416.2495014,509.3894868
4930434E21Rik,210.3035182,217.3881861,224.4448866
Dok3,274.1521324,401.4538805,345.2846466
Dhx40,253.8867582,447.8554648,492.1172191
Zbtb7b,198.7747076,307.2181627,345.5822805
Gm10105,759.79909,571.4735191,724.7379618
AU023639,198.5498109,205.8671493,222.9117327
0,186.9635733,197.7763166,205.4986373
E030042N06Rik,213.0760824,261.4267666,254.2741814
Hoxc12,239.1154521,232.8567361,233.614702
Ttll13,237.4112139,190.3343423,206.804607
ERCC-00043_129,223.6563409,231.2753716,232.9177472
0,383.421567,486.2619359,475.5302975
Pgr,196.2707645,207.4721341,194.5402374
Rasa1,440.5845976,405.3725952,399.6663805
Mixl1,186.7685333,188.5424927,226.1421786
Olfr186,197.0927518,190.648325,212.1519439
1110031I02Rik,2279.601236,2414.874574,2005.69079
Kpna3,617.1896958,729.4941864,684.937088
Ppp2r5a,2795.901796,8192.701484,7051.54802
Treh,216.9394291,229.6268884,217.4625823
Gm12670,223.1796533,208.8881368,198.7811936
LOC100046427,248.5496452,244.6647516,215.847403
Prdx4,2599.601104,1270.377762,1121.893413
0,15703.03318,16007.40227,14150.80896
Tnfaip3,294.5216718,247.3303502,259.2246623
Arhgef6,687.1161727,354.303,299.1511709
Ccdc121,212.0476361,223.6400516,215.9564964
Gad2,327.4221209,243.7080134,232.107018
Carhsp1,1525.521548,13090.63004,15168.84566
Gm5494,240.4140636,212.5018507,230.5330209
Gm2745,259.9118188,222.4224473,282.8003068
Rps29,56175.89579,39524.52018,45653.94166
Ccdc93,249.9722092,274.5361783,288.289688
Cyp4a31,241.256903,260.8550745,261.8206591
Rccd1,313.3954848,526.677812,476.3176125
9130024F11Rik,218.5841476,192.2222963,214.6625609
Col8a2,315.7091033,244.4418448,223.9155777
Capn10,1541.546793,1451.376983,1529.699985
0,255.1797803,205.9570827,217.539095
0,3531.031475,3515.194966,2743.91967
Fahd2a,1058.345765,939.0064348,847.7976795
Lass5,7636.350845,6249.555193,5552.209182
AA419673,255.9329233,210.9220968,212.8531798
2900073C17Rik,354.9659882,226.4573564,219.2207007
0,298.4124906,290.8043007,209.0186498
0,359.7189115,264.690957,229.6241925
0,303.8996582,216.4566848,217.4095418
Ogdhl,269.462433,296.1315882,334.314858
Gm11985,315.6308367,213.7571677,212.4759316
Ttc30a1,417.1040791,291.8101073,269.5238602
Mupcdh,255.3165748,229.8481502,222.8044132
Gas7,320.4005342,565.8211277,613.1987075
Zfp182,597.0374497,1099.907667,782.5369952
Tll1,393.1826758,281.9005291,238.4895345
Gcap14,6270.740527,2417.639585,1899.907072
Eif1,38325.48984,48561.94138,57101.38948
C1qc,586.0478137,396.2353885,386.7701408
D930015E06Rik,2224.73785,323.7700655,299.3089442
Pcx,2070.70632,9718.634966,8369.554884
Sv2c,302.5346524,263.9079634,267.1861632
Tcl1,251.5301467,200.435858,239.2586836
C530025M09Rik,279.7764909,205.0567782,210.6139684
Tex261,3421.667208,3015.421667,2613.420343
4930470G03Rik,335.9223852,217.0529702,245.9154998
Ppm1d,820.0604688,842.6753923,817.4585902
LOC100045981,16843.7004,51902.27248,57945.31898
Hapln3,661.2652697,221.0357289,250.8377095
LOC100045367,61295.79603,52694.08276,59971.95716
Gm2587,525.2558055,367.6108907,502.2375859
Trim43c,253.1344506,209.601875,236.0488309
Tcfeb,582.0418903,1783.559156,1745.870922
0,38462.54278,16008.0211,14129.63714
Fam40a,458.6744552,304.2416655,334.6876782
Pqbp1,443.0901615,520.3143961,584.2996564
0,270.1930318,211.8762252,210.7031891
Sec22a,280.9913658,241.7850793,224.7204882
Lca5l,278.8898961,243.3346161,232.7169925
Ppp2r2c,527.5350248,11826.6829,11153.52411
Gm12863,246.0236691,210.653728,205.8014309
LOC675614,260.5535379,208.290707,201.6246216
Ppp5c,840.8611082,1424.295068,1499.981568
Slc35a2,483.1576712,1827.46789,1557.370775
Olfr520,228.911917,213.7148116,218.2486259
Kcnq2,227.7781482,233.3308734,259.63718
Cenpe,2604.672259,422.4218075,395.280822
Gm9558,236.8374388,198.6105977,220.6273186
8430436N08Rik,229.54614,207.5519164,196.823193
Fads6,243.3799906,1260.29169,1260.843916
Siglecg,247.2953236,237.8606164,244.7991584
Gcg,228.7226839,240.8063835,230.1090647
Banf1,957.4940448,875.4668593,810.5951391
Cyp3a13,278.0062873,1090.172315,1393.554098
Esr1,211.4688353,209.9598657,213.2027921
