gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
ABLIM3,0.86090975,1.6501675,0.235471767,1.835526417,2.54688,0.9679534,0.2,4.396975,0.7362435
ABO,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.083691025
ABP1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ABR,4.785365,5.55343,6.805043333,11.66810583,4.22449,1.028501,7.5,3.50597,3.1523835
ABRA,0.1155799,0.38249095,0.1,0.1,0.809845,0.1,0.9,0.1,0.28040925
ABT1,0.6196065,0.74390775,2.456418333,0.630967917,1.00498,1.165102,1.6,0.3269925,0.2133638
ABTB1,0.08791325,0.33811375,0.509402833,0.166970833,0.1,0.1449684,0.2,0.342765,0.082847575
ABTB2,0.5460785,2.9189175,4.53999,1.158568833,0.24322,1.0504058,0.1,0.2041085,0.118180425
ACAA1,2.44133,4.2881725,5.31769,5.395145833,3.44509,3.424078,2.6,1.066913,0.734152
ACAA2,18.515425,20.706,12.77886667,56.02456667,5.19339,12.060816,11.7,5.37258,8.263385
ACACA,6.1569925,5.788455,8.651203333,6.089533333,6.76449,4.596076,1.6,1.60588,2.57932
ACACB,1.38194125,2.2080775,1.173444833,4.829904167,0.1,0.4701738,0.2,1.0775835,0.242666
ACAD10,0.65901525,0.69763425,0.417337167,0.7504385,0.480463,0.3108724,0.3,0.180621,0.159630375
ACAD11,1.46586125,1.8071875,1.475018333,2.589035833,1.60215,2.509602,1.3,0.3680975,0.26606
ACAD8,3.789815,4.102365,4.219068333,4.803918333,5.98875,3.024008,1.4,0.7862985,0.78973425
ACAD9,1.4567325,1.13478725,1.13569,1.332404417,2.03359,0.7742566,0.7,0.253129,0.34891175
ACADL,0.189613475,0.359351,2.1517895,0.920382333,1.90897,0.2739432,0.1,0.1501935,0.70653775
ACADM,15.56195,10.51623,11.75428883,17.419275,13.7325,9.871616,6.9,3.3444,8.43764
ACADS,0.087881,0.10860425,0.097752833,0.140546667,0.134502,0.1,0.1,0.1,0.0818965
ACADSB,1.697895,5.215655,0.897267,6.420755,7.56391,3.130624,1.5,0.7581315,1.896755
ACADVL,5.3112375,10.26955,8.049993333,13.15200917,1.70935,1.602873,2.0,4.747275,1.38307125
ACAN,0.0786065,0.034151398,0.122793767,0.1,0.1,0.1,0.1,0.1,0.054050103
ACAP1,0.1,0.1,0.3405,0.1,0.1,0.1,0.1,0.1,0.090437225
ACAP2,2.9353925,3.6776725,3.244425167,6.3720075,2.06419,3.219044,5.5,1.73507,2.2605325
ACAP3,0.072798375,0.1545705,0.771830833,0.100603417,0.1,0.1,0.1,0.1,0.070680475
ACAT1,6.7627425,6.7287725,3.406103333,13.04904583,17.0472,7.695158,4.2,3.367335,3.20751
ACAT2,4.046249,10.162425,34.66506667,7.895674167,11.9325,7.827308,2.1,0.1,4.560925
ACBD3,5.179675,4.36377,6.03569,4.52153,6.74508,4.658316,6.1,2.191315,1.59253475
ACBD4,0.0911461,0.12538425,0.389262617,0.20489925,0.1,0.1,0.1,0.1019035,0.0825261
ACBD5,13.4361875,19.81015,9.703005,21.013675,11.2997,18.24923,5.6,3.7471,8.890895
ACBD6,4.29717075,3.8337335,2.755606667,2.870775833,4.82655,2.89289,1.8,2.911015,1.931269
ACBD7,3.9852715,7.3133425,4.30343,21.63506667,1.66421,0.6292416,0.1,0.6349565,3.3142225
ACCN1,0.13020725,0.7628425,0.37085055,0.12016775,2.58494,0.222083,0.1,0.1421205,0.248728425
ACCN2,4.1661,9.020555,7.112648333,4.830175,4.99569,4.947484,0.1,0.3433945,0.86580125
ACCN3,0.094122425,0.20841025,1.070915,0.101948167,0.25513,0.1,0.1,0.1446805,0.183349025
ACCN4,0.138210925,0.14942425,0.092678917,0.1,0.1,0.1047432,0.1,0.1,0.128515825
ACCN5,0.1,0.1,0.1,0.1,0.155134,0.1,0.1,0.1,0.088136325
ACCS,0.1466227,0.20252625,0.171925667,0.451594917,0.1,0.1303798,0.4,0.1,0.0863123
ACCSL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACD,0.37481575,0.510968925,0.966848333,0.317341,0.1,0.102049,0.1,0.962687,0.31504275
ACE,0.063347675,0.078901275,0.086781967,0.102483833,0.1,0.1,0.1,0.416515,0.090792175
ACE2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.041816525
ACER1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ACER2,0.2042034,0.501589575,0.823872667,0.234350167,0.433128,0.1683066,0.3,2.92912,0.25482875
ACER3,2.9962775,11.42887,3.364441333,6.002189167,3.44453,7.589742,3.0,1.129587,1.319696
ACHE,0.08625855,0.083635825,0.1,0.1,0.166592,0.1,0.1,0.1,0.0848075
ACIN1,4.794895,5.1432275,10.37336667,3.625058333,3.63121,2.966114,4.3,1.80253,1.46673725
ACLY,8.705745,5.4403375,9.664671667,4.297566667,5.30303,3.423064,3.2,2.57807,1.320977
ACMSD,0.135005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.097732275
ACN9,1.4102725,1.0364785,1.138674333,1.765359,1.61489,0.99847,0.9,0.309294,0.67287525
ACO1,4.14627,6.196075,3.143645,11.30562333,7.49863,3.387984,2.3,1.9401,2.111185
ACO2,5.35555,5.50241,4.749326667,11.91858083,3.62911,2.905428,1.3,2.60156,1.159782
ACOT1,0.792143,1.5560975,0.09511255,3.10997,3.05538,0.453047,0.5,0.3757735,0.22862415
ACOT11,0.231530225,0.5125995,0.288215667,1.61498225,0.127137,0.1,0.1,0.1,0.132447725
ACOT12,0.0933656,0.12909375,0.1,0.1,0.1,0.1,0.1,0.1,0.0913777
ACOT13,9.10437,4.230135,2.547326667,8.016283333,5.12967,2.385714,4.3,1.57762,4.1656675
