gene,h4_mean,h24_mean,h48_mean,h72_mean,d7_mean,d21_mean,d28_mean
Gabarapl2,1785.646787,1783.257454,1119.464911,1837.089381,2436.969141,1445.915259,2601.258476
#N/A,123.3074852,111.714352,84.21370368,112.9646427,95.98284999,72.32114657,93.3416731
AC099183.1,111.8558454,103.6606656,108.4393274,128.7254776,116.2090527,85.23327288,98.95112633
Krt10,73.65006589,67.80630537,67.81086492,89.64212075,76.61841254,53.10577718,67.04057606
Snap25,1767.241627,1498.331787,621.8563852,1747.433346,1143.684641,860.4605393,1108.980214
Snap25,679.6243329,626.8180525,119.3306354,752.9999624,428.4357154,295.7035892,417.7097903
Snap25,89.16501458,99.3524693,25.30132764,93.06438777,60.47886217,39.70837368,55.09711066
Barhl2,177.0733445,176.3607077,155.9826442,180.800269,159.9598078,175.8159793,152.0725841
Cyp51,832.4815083,774.9249211,427.7217722,521.6331933,357.5102826,297.3709109,338.6366963
Pnck,230.2127319,221.2167719,203.3081203,223.4274031,228.8600023,306.3013451,230.7582049
Pnck,380.8593548,323.722021,258.5145485,308.9993852,318.0655775,324.3034618,359.4720379
Pcdhgc3,207.1001583,206.3394227,188.8806695,273.6867074,249.6536075,252.0380819,288.4616845
#N/A,670.5851309,551.8385826,357.24091,595.1931694,473.4310365,387.4362031,462.9079434
#N/A,20.99551104,18.06647682,16.80405695,21.1506512,18.47989949,19.07716449,17.66838642
Acacb,142.0984211,129.5640119,125.8968762,126.3465369,117.1544318,106.7225153,116.0723318
Slc22a6,98.18701223,99.90371893,111.0656499,116.8654362,116.4812514,121.8916576,137.5541981
Fgf18,132.9205211,111.1681498,113.9341022,104.2792863,98.61727132,113.366371,97.77452375
Cd79b,145.6556092,119.7433469,122.6360877,123.7933431,116.8253453,126.8203889,113.5201106
Ucp2,721.8556894,670.8990901,1186.199716,1066.049578,1308.573094,1063.633896,872.8837232
#N/A,57.00007467,47.06368844,51.72142272,46.55667771,40.89818061,44.91474469,42.59265902
Cdk17,527.5769036,653.2447928,257.4418715,497.4886926,468.4224269,325.4946025,642.0585109
Cdk17,509.3261259,559.3908787,260.3025686,415.3689369,435.5592698,381.4486968,588.8187912
Cdk18,585.2784111,425.6445419,516.381718,332.1774742,412.8103393,569.3562747,426.7266112
Aqp8,103.9385969,99.8347132,118.3668842,91.47752478,83.30674927,115.6805159,99.50281245
Pard3,176.7140298,177.1471589,175.0981986,134.1409468,139.0269473,196.5222964,162.7582165
