gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes
ACBD4,0.0911461,0.12538425,0.389262617,0.20489925
ACBD5,13.4361875,19.81015,9.703005,21.013675
ACBD6,4.29717075,3.8337335,2.755606667,2.870775833
ACBD7,3.9852715,7.3133425,4.30343,21.63506667
ACCN1,0.13020725,0.7628425,0.37085055,0.12016775
ACCN2,4.1661,9.020555,7.112648333,4.830175
ACCN3,0.094122425,0.20841025,1.070915,0.101948167
ACCN4,0.138210925,0.14942425,0.092678917,0.1
ACCN5,0.1,0.1,0.1,0.1
ACCS,0.1466227,0.20252625,0.171925667,0.451594917
ACCSL,0.1,0.1,0.1,0.1
ACD,0.37481575,0.510968925,0.966848333,0.317341
ACE,0.063347675,0.078901275,0.086781967,0.102483833
ACE2,0.1,0.1,0.1,0.1
ACER1,0.1,0.1,0.1,0.1
ACER2,0.2042034,0.501589575,0.823872667,0.234350167
ACER3,2.9962775,11.42887,3.364441333,6.002189167
ACHE,0.08625855,0.083635825,0.1,0.1
ACIN1,4.794895,5.1432275,10.37336667,3.625058333
ACLY,8.705745,5.4403375,9.664671667,4.297566667
ACMSD,0.135005,0.1,0.1,0.1
ACN9,1.4102725,1.0364785,1.138674333,1.765359
ACO1,4.14627,6.196075,3.143645,11.30562333
ACO2,5.35555,5.50241,4.749326667,11.91858083
ACOT1,0.792143,1.5560975,0.09511255,3.10997
ACOT11,0.231530225,0.5125995,0.288215667,1.61498225
ACOT12,0.0933656,0.12909375,0.1,0.1
ACOT13,9.10437,4.230135,2.547326667,8.016283333
ACOT2,1.24233875,1.94091575,0.952383333,3.624264167
ACOT4,0.174573,0.82480625,0.1,0.696337917
ACOT6,0.141073275,0.33419405,0.1,1.202958917
ACOT7,0.71137825,1.888108,5.784185,0.6225485
ACOT8,0.444345,0.738957,1.217978333,0.261299833
ACOT9,2.168866,2.3493825,2.154586667,3.037906667
ACOX1,5.95744,6.2638075,4.798713333,12.81689167
ACOX2,1.63337075,0.41009925,0.258681667,1.889485167
ACOX3,0.9066945,1.47209825,0.980205833,1.135380333
ACOXL,0.1,0.1,0.1,0.1
ACP1,11.457345,9.7495575,11.55887167,9.921546667
ACP2,1.756243,0.950267,2.122958667,1.063283583
ACP5,0.1,0.1,0.1,0.116680917
ACP6,2.4112175,0.963722,0.915364,3.384831667
ACPL2,8.9394415,1.58314925,3.524717667,1.774303583
ACPP,0.523662275,0.311041325,0.482185167,0.16115975
ACPT,0.1,0.1,0.1,0.1
ACR,0.531145,0.14482975,0.1328385,0.1
ACRBP,0.0862029,0.233942,0.1371825,0.142436833
ACRC,0.2515215,0.28049775,0.307388667,0.303797417
ACRV1,0.3303035,0.098992725,0.76363565,0.106336083
ACSBG1,5.587985,6.01062,0.886219833,19.55966667
ACSBG2,0.05358715,0.1113085,0.10629,0.133033583
ACSF2,0.57767675,1.076625,0.562987167,2.251560333
ACSF3,0.10594,0.255285,0.590769,0.173771167
ACSL1,0.7997161,12.749225,0.119854167,1.299490917
ACSL3,12.231725,15.878475,5.201345,23.28230833
ACSL4,1.6884262,2.8806375,0.795380333,1.259132583
ACSL5,0.343637,0.370921275,0.091525267,0.163160917
ACSL6,5.385895,11.8230625,1.606149667,37.37903333
ACSM1,0.1,0.1,0.1,0.10204375
ACSM2A,0.1,0.1,0.1,0.1
ACSM2B,0.1,0.1,0.1,0.1
ACSM3,0.1,0.1,0.1,0.1
ACSM4,0.1,0.1,0.1,0.1
ACSM5,0.14310065,0.67485975,0.1,0.499532583
ACSS1,1.7038115,6.28051,1.0319475,12.58505417
ACSS2,1.38097065,4.288213,1.72883,1.775259
ACSS3,3.8512975,2.78239,2.92756,7.380565
ACTA1,0.104988925,0.1,0.1,0.104521833
ACTA2,7.11577,1.610112,0.656011667,2.712336917
ACTB,410.58775,385.9145,445.8235,211.0206667
ACTBL2,0.1,0.1,0.1,0.1
ACTC1,0.0820973,0.179865125,0.293064667,0.105651
ACTG1,105.618975,92.84095,201.7651667,81.8765
ACTG2,0.2251907,0.1,0.1,0.121109917
ACTL10,0.1,0.09497795,0.453465667,0.116901417
ACTL6A,10.05790258,5.0588275,4.343243333,2.937112833
ACTL6B,0.16934925,0.133883175,0.29449,0.113028667
ACTL7A,0.1,0.1,0.1,0.1
ACTL7B,0.1,0.1,0.1,0.1
ACTL8,0.13777,0.1,0.1,0.1
ACTL9,0.1,0.1,0.1,0.1
ACTN1,9.7191876,0.50855675,3.561105,0.5641375
ACTN2,1.945505,1.50635225,1.694266833,0.135786417
ACTN3,0.1,0.1,0.1,0.1
ACTN4,6.1089472,4.346875,12.20087167,1.099171333
ACTR10,4.79359,6.920555,1.2827865,6.071238333
ACTR1A,4.95766,9.166965,11.15727,7.070311667
ACTR1B,3.78675,3.938495,7.635776667,2.749675833
ACTR2,18.4971675,17.772725,11.83871,16.65166667
ACTR3,26.4724775,19.19295,10.099175,10.28346333
ACTR3B,1.107918,1.455655,5.755015,1.948779833
ACTR3BP2,0.1,0.1,0.1,0.1
ACTR3BP5,0.1,0.1,0.1,0.1
ACTR3C,0.136562825,0.14650075,0.591046333,0.3762925
ACTR5,1.28069175,0.68680525,1.489661667,0.42955675
ACTR6,2.199096,2.62634,2.016666333,2.204246167
ACTR8,2.369185,2.3274175,2.328086333,2.953324167
ACTRT1,0.1,0.1,0.1,0.1
ACTRT2,0.1,0.1,0.1,0.1
ACVR1,1.72927925,2.588725,4.478056667,2.978080083
ACVR1B,4.6587475,2.36866625,2.729473333,3.140645
ACVR1C,0.079223625,0.8407435,0.168668817,0.641959167
