gene	activatedaOPCs_mean	non_activatedaOPCs_mean
LOC100047134	1096.691059	868.8488671
V1rd20	1158.122749	909.3142905
2010000I03Rik	1008.191361	1087.141
0	853.5935321	904.2369962
0	1054.167656	971.2515762
Gm7555	20026.53832	15230.91952
Slc25a1	3373.158936	5147.774252
Trim42	1049.56916	952.4517914
Gm15762	1001.488773	930.1896895
0	1074.890129	1066.698095
Gm3804	3822.852096	3153.944605
0	1145.557672	907.429179
Zfp354a	1679.172452	2236.693375
Gm5463	1188.81884	926.922001
0	1048.973243	1042.993355
Armc4	1314.418011	873.9437429
Dnase1l1	1508.739834	1188.943155
Khnyn	1437.869163	1959.937502
0	1098.206023	1008.22016
Vmn2r65	1212.934123	911.456661
Kri1	15101.9765	16035.53564
6330416L07Rik	1487.356549	1354.032512
1700003F12Rik	1155.934609	1037.745648
Ahrr	908.332653	870.3580517
Duox1	978.010776	951.0766948
LOC100044680	974.3442334	1189.633158
Rnase6	962.3758702	992.6395712
Scgb2a2	865.1733732	943.813559
Ccnl2	2740.033786	4049.344262
V1rd16	927.8358246	902.86298
Prune	1109.944742	1054.982748
Olfr450	938.6284654	796.004414
Snrpd2	15632.3766	14425.57817
Asl	1491.360563	1490.169958
Olfr1258	908.7902696	1671.970484
Pafah1b1	13981.0808	13251.293
4930438A08Rik	1037.927867	938.6520886
Tktl2	1133.789584	1447.922583
Chchd5	2350.335396	2016.512857
Gm5471	49459.40657	52222.48957
Fam173a	31628.27311	28774.65433
Rexo2	5006.425127	5333.77357
Tuba1b	63404.2968	53045.89133
Dcdc2a	997.1495432	2045.186114
D630042P16Rik	1077.601	1333.002761
Zfp423	961.5207636	874.4996967
Clybl	920.7476357	881.3140205
LOC100048011	939.1470155	887.0277533
Tnfrsf11b	1075.728731	1157.64444
Olfr551	848.2330021	861.4167429
Cdkl3	854.1954623	922.0873905
Rhbg	925.6200371	868.5735881
Gm281	970.5242343	875.9407052
Sntb1	953.0200221	898.5618081
Dhx9	980.4019004	997.2058707
Ski	1015.424952	1094.685077
4933413J09Rik	897.5709732	1038.866003
Txlna	1516.652474	1790.79341
Apon	981.0154768	954.6620544
Ston1	1379.933236	925.6144719
Psg20	1380.561354	1008.546895
Zdhhc9	1354.601316	1530.707719
St6galnac2	1228.908241	1126.657953
(+)E1A_r60_a135	951.5884036	943.0215647
Snx6	8636.904793	9428.998676
Ralgapa2	1117.171433	1109.05775
1700007F19Rik	1249.510031	999.0718129
Myl1	1901.044688	866.9205071
Ceacam12	1085.84915	986.0217824
Rnf167	9293.225879	11470.16816
Asz1	1164.790704	931.9344567
Bpil2	8647.127596	5807.365757
0	1040.463753	844.3113786
0	987.8083075	885.9403629
Sfrs2	5101.4692	4669.58941
EG667449	1161.53861	1355.991737
Ctnna2	1096.954609	1359.965567
Gm6124	1052.88911	801.2267052
2810408P10Rik	1298.413304	1256.133625
Dnajc2	1620.827223	1677.370974
Fam162a	6489.310062	5738.075582
Cobra1	10712.36811	15135.26907
0	1042.872777	1236.180279
Zfp51	1824.299152	1435.33748
Gm9856	1409.500645	1122.966362
2610306M01Rik	2668.288713	1635.028481
Tcea1	2256.744939	1725.202938
Dlst	6458.02815	6373.490705
1700113I22Rik	1385.414895	865.6476126
4930562F17Rik	1095.225838	1552.504868
36951	2294.076344	2416.686062
Ttc34	1182.706487	1022.016242
Lrrc1	1344.251869	1590.781171
Pdzrn4	1292.943354	955.8336833
0	997.51899	848.7508212
Actr1a	32005.27064	30213.88755
Polr2i	16743.19289	10181.99607
C2cd2l	10812.70236	15500.46081
Sar1a	15485.16343	15347.97511
Rc3h2	3612.090779	4239.7624
Phtf1	2701.775204	3570.175486
A930005G22Rik	1087.631584	866.9191271
C80998	1031.212927	872.9424833
Ramp3	1041.593113	1029.303417
1700123O12Rik	1204.173128	1050.299969
Tmem220	1192.125952	1146.384593
4921513D23Rik	1158.762796	1293.444838
Il4	968.1976673	1049.750958
Tcl1b5	1070.465531	955.7799562
Esyt3	1003.211961	997.2419348
Olfr539	1013.8606	821.829671
Nid2	1059.918474	894.0010874
Nfatc1	1024.587632	1028.473841
Btbd10	4689.167057	3951.736505
